Establishment Name,Inspection Date,Severity,Latitude,Longitude,Infraction Details
ADI BIKRAMPUR SWEETS & FAST FOOD,2023-08-02,C - Crucial,43.69085,-79.29113,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
ADOBO FRESH BURRITO MEXICAN GRILL,2023-12-05,C - Crucial,43.64558,-79.36867,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
ADOBO FRESH BURRITO MEXICAN GRILL,2024-06-17,C - Crucial,43.64558,-79.36867,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AFRICA MART,2024-03-18,C - Crucial,43.75392,-79.24442,Fail to ensure storage shelves designed to protect against contamination - Sec. 31
AFRICAN KING MEAT SHOP,2022-09-14,C - Crucial,43.72423,-79.5091,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AFRICAN KING MEAT SHOP,2022-09-14,C - Crucial,43.72423,-79.5091,Food premise maintained in manner permitting health hazard (Rodents) - Sec. 7(1)(a)(i)    
AFRO CARIBBEAN FOODS,2023-06-08,C - Crucial,43.71936,-79.50795,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AH-SO SUSHI,2023-11-20,C - Crucial,43.63907,-79.41008,Display potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
AISH TANOOR,2022-09-08,C - Crucial,43.70038,-79.42955,Food premise maintained in manner permitting health hazard (Rodents) - Sec. 7(1)(a)(i)    
AISH TANOOR,2023-11-29,C - Crucial,43.70038,-79.42955,Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) 
AISLE 24,2022-07-15,C - Crucial,43.655,-79.35516,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AITAIKER TAIWANESE FRIED CHICKEN,2024-03-04,C - Crucial,43.77553,-79.41525,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
AKAI,2023-06-20,C - Crucial,43.66308,-79.40502,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AKAI,2023-06-20,C - Crucial,43.66308,-79.40502,Refrigerate potentially hazardous foods at internal temperature above 4 C - Sec. 30(a)
AKHIGBE AFRICAN-CARIBBEAN FOOD MARKET,2022-07-28,C - Crucial,43.75304,-79.62193,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AL DIWAN RESTAURANT,2023-01-09,C - Crucial,43.75986,-79.2262,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AL MEEZAN GROCERY & TAKE OUT,2022-07-13,C - Crucial,43.73783,-79.56708,Fail to protect food from contamination or adulteration - Sec. 26(1) 
