Establishment Name,Inspection Date,Severity,Latitude,Longitude,Infraction Details
ACR HOT ROTI & DOUBLES,2022-09-15,C - Crucial,43.752247546127556,-79.26206254619626,Hot-holding potentially hazardous foods at internal temperature below 60 C - Sec. 30(a)
ADDA,2023-04-11,C - Crucial,43.694217216086756,-79.27713521433094,Maintain potentially hazardous foods at internal temperature between 4 C and 60 C -  Sec. 27(1)
ADDA,2023-04-11,C - Crucial,43.69398209578101,-79.2779032928838,Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) 
ADI BIKRAMPUR SWEETS & FAST FOOD,2023-08-02,C - Crucial,43.69079920266772,-79.29144676353876,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
ADOBO FRESH BURRITO MEXICAN GRILL,2023-12-05,C - Crucial,43.64563026622925,-79.368999574667,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
ADOBO FRESH BURRITO MEXICAN GRILL,2024-06-17,C - Crucial,43.64528045901535,-79.36862093948486,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AFRICA MART,2024-03-18,C - Crucial,43.75403906196592,-79.24438709648693,Fail to ensure storage shelves designed to protect against contamination - Sec. 31
AFRICAN KING MEAT SHOP,2022-09-14,C - Crucial,43.72368323139068,-79.50891282028813,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AFRICAN KING MEAT SHOP,2022-09-14,C - Crucial,43.72413690339888,-79.50877342421117,Food premise maintained in manner permitting health hazard (Rodents) - Sec. 7(1)(a)(i)    
AFRO CARIBBEAN FOODS,2023-06-08,C - Crucial,43.7197732153184,-79.50788776436444,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AH-SO SUSHI,2023-11-20,C - Crucial,43.63932219599366,-79.41034672194382,Display potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
AISH TANOOR,2022-09-08,C - Crucial,43.700089130822185,-79.4294008486643,Food premise maintained in manner permitting health hazard (Rodents) - Sec. 7(1)(a)(i)    
AISH TANOOR,2023-11-29,C - Crucial,43.70106509815965,-79.42901917560431,Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) 
AISLE 24,2022-07-15,C - Crucial,43.6550657530267,-79.35509954610201,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AITAIKER TAIWANESE FRIED CHICKEN,2024-03-04,C - Crucial,43.77522347922895,-79.41601844357965,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
AKAI,2023-06-20,C - Crucial,43.66312130227432,-79.40492112309572,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AKAI,2023-06-20,C - Crucial,43.66302877648729,-79.40562276243553,Refrigerate potentially hazardous foods at internal temperature above 4 C - Sec. 30(a)
AKHIGBE AFRICAN-CARIBBEAN FOOD MARKET,2022-07-28,C - Crucial,43.75284785047017,-79.62167746325984,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AL DIWAN RESTAURANT,2023-01-09,C - Crucial,43.75986985404601,-79.22602327589905,Fail to protect food from contamination or adulteration - Sec. 26(1) 
